priority,company,website,location,category,pmo_score,day0_status,day3_status,day7_status,decision_maker,linkedin,notes
1,National Wellness Partners,https://nationalwellnesspartners.com,"Abu Dhabi, UAE",PharmaTech,80,pending,pending,pending,,,
2,National MedTech Solutions,https://nationalmedtechsolutions.com,"Salalah, Oman",Digital Health,80,pending,pending,pending,,,
3,Arabian Medical Group,https://arabianmedicalgroup.com,"Riyadh, KSA",Healthcare,80,pending,pending,pending,,,
4,Advanced Health Solutions,https://advancedhealthsolutions.com,"Kuwait City, Kuwait",Healthcare,80,pending,pending,pending,,,
5,Global Healthcare Systems,https://globalhealthcaresystems.com,"Cairo, Egypt",MedTech,80,pending,pending,pending,,,
6,Arabian Pharma Institute,https://arabianpharmainstitute.com,"Kuwait City, Kuwait",Healthcare,80,pending,pending,pending,,,
7,Royal Wellness Holdings,https://royalwellnessholdings.com,"Cairo, Egypt",HealthTech,80,pending,pending,pending,,,
8,Emirates MedTech Holdings,https://emiratesmedtechholdings.com,"Jeddah, KSA",Wellness,80,pending,pending,pending,,,
9,Elite Health Center,https://elitehealthcenter.com,"Alexandria, Egypt",Telemedicine,80,pending,pending,pending,,,
10,Global Health Systems,https://globalhealthsystems.com,"Jeddah, KSA",Digital Health,80,pending,pending,pending,,,
11,Premier Pharma Solutions,https://premierpharmasolutions.com,"Lusail, Qatar",PharmaTech,80,pending,pending,pending,,,
12,Emirates Wellness Center,https://emirateswellnesscenter.com,"Muscat, Oman",HealthTech,80,pending,pending,pending,,,
13,Arabian Digital Health Partners,https://arabiandigital healthpartners.com,"Muharraq, Bahrain",Healthcare,80,pending,pending,pending,,,
14,Advanced Health Holdings,https://advancedhealthholdings.com,"Salalah, Oman",MedTech,80,pending,pending,pending,,,
15,Global MedTech Holdings,https://globalmedtechholdings.com,"Kuwait City, Kuwait",Wellness,80,pending,pending,pending,,,
16,Elite Pharma Group,https://elitepharmagroup.com,"Salalah, Oman",Telemedicine,80,pending,pending,pending,,,
17,Premier Health Systems,https://premierhealthsystems.com,"Kuwait City, Kuwait",Healthcare,80,pending,pending,pending,,,
18,Gulf Medical Group,https://gulfmedicalgroup.com,"Kuwait City, Kuwait",Telemedicine,80,pending,pending,pending,,,
19,Emirates Digital Health Institute,https://emiratesdigital healthinstitute.com,"Khobar, KSA",PharmaTech,80,pending,pending,pending,,,
20,Global Wellness Group,https://globalwellnessgroup.com,"Muscat, Oman",Wellness,80,pending,pending,pending,,,
21,Elite Healthcare Center,https://elitehealthcarecenter.com,"Al Ain, UAE",Telemedicine,80,pending,pending,pending,,,
22,Elite MedTech Group,https://elitemedtechgroup.com,"Khobar, KSA",Wellness,80,pending,pending,pending,,,
23,Emirates Digital Health Systems,https://emiratesdigital healthsystems.com,"Doha, Qatar",Healthcare,80,pending,pending,pending,,,
24,National MedTech Group,https://nationalmedtechgroup.com,"Sharjah, UAE",Healthcare,80,pending,pending,pending,,,
25,Arabian Digital Health Holdings,https://arabiandigital healthholdings.com,"Riyadh, KSA",Telemedicine,80,pending,pending,pending,,,
26,Royal Medical Systems,https://royalmedicalsystems.com,"Kuwait City, Kuwait",Wellness,80,pending,pending,pending,,,
27,Arabian MedTech Center,https://arabianmedtechcenter.com,"Lusail, Qatar",Wellness,80,pending,pending,pending,,,
28,Gulf Healthcare Institute,https://gulfhealthcareinstitute.com,"Doha, Qatar",Wellness,80,pending,pending,pending,,,
29,Global Digital Health Partners,https://globaldigital healthpartners.com,"Kuwait City, Kuwait",HealthTech,80,pending,pending,pending,,,
30,Arabian MedTech Institute,https://arabianmedtechinstitute.com,"Muharraq, Bahrain",PharmaTech,80,pending,pending,pending,,,
31,Elite Pharma Center,https://elitepharmacenter.com,"Kuwait City, Kuwait",MedTech,80,pending,pending,pending,,,
32,Middle East Digital Health Group,https://middle eastdigital healthgroup.com,"Jeddah, KSA",Digital Health,80,pending,pending,pending,,,
33,Advanced Wellness Group,https://advancedwellnessgroup.com,"Khobar, KSA",Healthcare,80,pending,pending,pending,,,
34,Middle East Healthcare Institute,https://middle easthealthcareinstitute.com,"Manama, Bahrain",Healthcare,80,pending,pending,pending,,,
35,Middle East Wellness Systems,https://middle eastwellnesssystems.com,"Manama, Bahrain",Healthcare,80,pending,pending,pending,,,
36,Gulf Wellness Center,https://gulfwellnesscenter.com,"Abu Dhabi, UAE",HealthTech,80,pending,pending,pending,,,
37,Gulf MedTech Solutions,https://gulfmedtechsolutions.com,"Sharm El Sheikh, Egypt",PharmaTech,80,pending,pending,pending,,,
38,Gulf Wellness Partners,https://gulfwellnesspartners.com,"Manama, Bahrain",PharmaTech,80,pending,pending,pending,,,
39,National Healthcare Center,https://nationalhealthcarecenter.com,"Al Ain, UAE",Wellness,80,pending,pending,pending,,,
40,Royal Health Systems,https://royalhealthsystems.com,"Riyadh, KSA",PharmaTech,80,pending,pending,pending,,,
41,Middle East MedTech Systems,https://middle eastmedtechsystems.com,"Sharm El Sheikh, Egypt",Telemedicine,80,pending,pending,pending,,,
42,National Wellness Group,https://nationalwellnessgroup.com,"Khobar, KSA",Healthcare,80,pending,pending,pending,,,
43,Global Wellness Solutions,https://globalwellnesssolutions.com,"Kuwait City, Kuwait",Telemedicine,80,pending,pending,pending,,,
44,Gulf MedTech Institute,https://gulfmedtechinstitute.com,"Muharraq, Bahrain",MedTech,80,pending,pending,pending,,,
45,Gulf Health Institute,https://gulfhealthinstitute.com,"Lusail, Qatar",PharmaTech,80,pending,pending,pending,,,
46,National Health Systems,https://nationalhealthsystems.com,"Al Ain, UAE",HealthTech,80,pending,pending,pending,,,
47,Advanced Health Institute,https://advancedhealthinstitute.com,"Muharraq, Bahrain",Wellness,80,pending,pending,pending,,,
