id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type,search_term,search_country,relevance
li-4376306468,linkedin,https://www.linkedin.com/jobs/view/4376306468,,Project Director - Rail,Jacobs,"Dubai, Dubai, United Arab Emirates",2026-03-14,,,,,,,False,,,,,,,https://www.linkedin.com/company/jacobs,,,,,,,,,,,,,Program Director,united arab emirates,2
in-56dea7baf6601514,indeed,https://ae.indeed.com/viewjob?jk=56dea7baf6601514,http://ae.indeed.com/job/head-technology-chief-technology-officer-cto-56dea7baf6601514,Head of Technology / Chief Technology Officer (CTO),entourage marketing & events,"Dubai, DU, AE",2026-03-16,fulltime,,,,,,True,,,,,"**Head of Technology / Chief Technology Officer (CTO)**

**Stage:** MVP Built – Pre-Launch Scaling

**Location:** Flexible / Preferably UAE or GCC

**Role Overview**

This role will be responsible for auditing and validating the existing platform architecture, ensuring it follows best engineering practices, preparing the product for launch, and leading the technology roadmap through future development phases.

The ideal candidate combines deep technical expertise with startup leadership experience, capable of building and managing a high-performance engineering team while aligning technology with business growth.

**Ideal Candidate Profile**

We are looking for a hands-on technology leader who can operate both strategically and technically, capable of turning an MVP into a scalable global technology platform.

This role suits someone who wants to build a technology company from the ground up, working closely with the founders and leadership team.

**Key Responsibilities:**

**Technical Due Diligence & Platform Validation**

· Conduct a full technical audit of the current MVP, including architecture, infrastructure, security, scalability, and code quality.

· Validate whether the platform follows industry best practices in software architecture, DevOps, and security.

· Identify technical gaps and produce a technology improvement roadmap.

**Product Launch Leadership**

· Lead the technical preparation for platform launch, including performance optimization, QA processes, and scalability readiness.

· Implement best practices in CI/CD, testing, monitoring, and deployment.

· Ensure the system can scale for large user acquisition and high transaction volumes.

**Technology Strategy & Roadmap**

· Define and manage the technology roadmap across multiple development phases.

· Work closely with product and leadership teams to translate business goals into scalable technical solutions.

· Evaluate and implement technologies for AI recruitment matching, data analytics, and automation.

**Engineering Team Leadership**

Build, manage, and mentor a cross-functional technology team including:

· Backend engineers

· Frontend engineers

· DevOps engineers

· Data engineers

· QA specialists

Establish strong engineering culture, agile workflows, and delivery processes.

Platform Architecture & Scalability

Design and oversee scalable cloud architecture.

Ensure best practices in:

Microservices architecture

API-driven platforms

Security and data protection

System performance and reliability.

Product Innovation

**Continuously enhance the platform through:**

· AI-driven recruitment matching

· Automation and workflow optimization

· Integration with external HR platforms and job boards

· Advanced analytics and reporting tools.

**Required Qualifications**

**Experience**

· 10+ years of experience in software development or technology leadership.

· 5+ years leading engineering teams or serving as CTO / Head of Engineering.

· Experience building or scaling SaaS platforms or marketplace platforms.

· Experience launching startups or early-stage products from MVP to scale.

**Technical Expertise**

Strong experience in several of the following areas:

· Cloud platforms (AWS, Azure, or GCP)

· Scalable backend architecture

· Microservices and API design

· DevOps and CI/CD pipelines

· Database architecture (SQL / NoSQL)

· Platform security and compliance

· Performance optimization and scalability.

**Preferred Experience**

· Experience building HRTech / Recruitment / Marketplace platforms.

· Product & Startup Mindset

· Experience working in startup environments or high-growth tech companies.

· Strong understanding of product lifecycle management.

· Ability to balance speed of execution with system stability and scalability.

· Familiarity with AI-driven matching or recommendation systems.

· Experience managing distributed engineering teams.

· Exposure to global platform scaling and international markets.

**Core Skills Required**

· Leadership

· Strategic thinking

· Team building

· Technical mentoring

· Cross-functional collaboration

**Technical**

· System architecture

· Cloud infrastructure

· DevOps and automation

· Cybersecurity awareness

**Product**

· Product roadmap planning

· Data-driven decision making

· User-centric platform development

· Success Metrics for the Role

**The Head of Technology will be measured by:**

· Successful technical validation and stabilization of the MVP

· On-time platform launch

· Ability to build and lead a strong engineering team

· Delivery of scalable product roadmap milestones

· System reliability, performance, and security

Job Type: Full-time

Work Location: Hybrid remote in Dubai (Dubai)",,https://ae.indeed.com/cmp/Entourage-Marketing-&-Events-5,,,,,,,,,,,,,CTO,united arab emirates,1
li-4385882512,linkedin,https://www.linkedin.com/jobs/view/4385882512,,Project Director/FITOUT,Shades Interiors LLC,"Dubai, United Arab Emirates",2026-03-14,,,,,,,False,,,,,,,https://ae.linkedin.com/company/shades-interiors-llc,,,,,,,,,,,,,Program Director,united arab emirates,1
li-4386013268,linkedin,https://www.linkedin.com/jobs/view/4386013268,,Director of Operations,TALENTMATE,"Dubai, Dubai, United Arab Emirates",2026-03-14,,,,,,,False,,,,,,,https://ae.linkedin.com/company/talentmateglobal,,,,,,,,,,,,,VP Technology,united arab emirates,1
li-4385362000,linkedin,https://www.linkedin.com/jobs/view/4385362000,,International Engineering Director (Madrid or Seville offices),Ayesa Engineering,"Dubai, United Arab Emirates",2026-03-13,,,,,,,False,,,,,,,https://www.linkedin.com/company/ayesaengineering,,,,,,,,,,,,,IT Director,united arab emirates,1
in-0d2dc27067a718b5,indeed,https://ae.indeed.com/viewjob?jk=0d2dc27067a718b5,https://jobs.sephora.com/MiddleEast/job/DUBAI-Talent-and-Culture-Director/1325005555/?feedId=195900&utm_source=Indeed,Talent and Culture Director,Sephora,"Dubai, DU, AE",2026-03-15,,,,,,,False,,,,,"At Sephora, beauty is about feeling seen, valued, and empowered, individually and collectively. It is connecting deeply with others, celebrating diversity and inclusivity, unlocking your potential and making a difference every day. Together, we belong to something beautiful.

Since its inception in 1969 in Limoges, France, and as part of the LVMH Group since 1997, Sephora has been disrupting the prestige beauty retail industry. Today, Sephora continues to break with convention to drive its mission: champion a world of inspiration and inclusion where everyone can celebrate their beauty.

With 56,000 employees in 35 countries, we connect customers and beauty brands within the world’s most passionate beauty community. With a curation of nearly 500 brands, and our own label, Sephora Collection, we offer the most unique and diverse range of products: fragrances, makeup, hair care, skincare... and much more.

**POSITION PURPOSE:**

Sephora Middle East is recruiting a Talent & Culture Director to champion a people-first culture where our teams are empowered, inspired, and equipped to thrive.

As Talent & Culture Director, you will oversee People Partnering, Learning & Development, Employee Engagement, and will:

* Co-design and lead the implementation of our talent strategy in line with Sephora’s Middle East business vision.
* Foster a high-performance, inclusive culture across our Middle East region.
* Build future-ready organization and leaders to ensure exceptional employee experiences.
* Act as a trusted advisor to senior leaders, championing excellence in how we attract, develop, and engage our people.
* Ensure Sephora remains an employer of choice in the Middle East.

**You will excel and enjoy this position if you are ready to actively handle the following missions:**

**1. Leadership, Talent & Performance**

* Co-deefine and deliver the regional talent strategy in alignment with Sephora Middle East business priorities.
* Leverage people analytics to provide insights, identify gaps, and influence business decisions.
* Build robust succession plans and talent pipelines to ensure organizational sustainability.
* Recruit and securing expertise and leadership for key roles.
* Drive performance and development frameworks that enable growth, clarity, and accountability.
* Develop and leading a high-performing People team that is trusted and business-savvy.

**2. People Partnering**

* Oversee the full employee lifecycle, from attraction to offboarding, ensuring a consistent, engaging journey.
* Partner with business leaders to align people priorities with business strategic goals.
* Provide coaching and guidance to managers, supporting them in performance, development, and change management.
* Foster trusted relationships across all levels of the business, nurturing a culture rooted in Sephora’s values.

**3. Learning & Development**

* Build a learning culture that accelerates growth for people and business.
* Design and delivering leadership development, core skills, and impactful learning journeys.
* Partner with global and regional teams to deploy LVMH and Sephora programs.
* Design and delivering our own Learning programs in line with local requirements and needs.
* Ensure investment in L&D delivers measurable impact on engagement and performance.

**4. Culture & Engagement**

* Lead Sephora Middle East’s employee engagement strategy, driving belonging, commitment, and high performance.
* Champion diversity, equity, and inclusion across every stage of the employee lifecycle.
* Leverage employee feedback to shape action plans and deliver meaningful change.
* Act as a culture ambassador, ensuring Sephora’s values are lived every day across our teams.

**Do not hesitate to apply if you have / or if you are:**

* A seasoned HR leader with 10+ years of international experience in senior HR roles, preferably in retail, consumer, or dynamic, fast-paced industries.
* Proven track record in talent and culture strategy, and leadership development.
* A strong business acumen with the ability to align people strategy to business priorities.
* An Inclusive leader with a passion for building diverse, high-performing teams.
* A Strategic thinker with hands-on execution skills, able to balance vision with action.
* A Skilled communicator and influencer, with credibility across all organizational levels.
* A Proactive, analytical, and solutions-oriented, with strong change management experience.

**Here, you will find:**

* **Community,** in which authenticity is embraced, and the strength of our differences fuels our collective spirit
* **Culture** of empowerment, learning & growth, that offers you the tools, space and opportunity to learn, innovate and lead
* **Work that brings fulfillment.** From delighting clients every day, to inspiring our industry at large, every action makes a difference

**Join us and belong to something beautiful**",,https://ae.indeed.com/cmp/Sephora,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/577f86b8ab51a271ac7dfa04f22d753a,https://www.inside-sephora.com/en/about-sephora,Neuilly-sur-Seine,"10,000+",more than $10B (USD),Sephora is the world’s leading global prestige beauty retail brand,,,,,,,IT Director,united arab emirates,0
in-3b298abf7962941f,indeed,https://ae.indeed.com/viewjob?jk=3b298abf7962941f,http://ae.indeed.com/job/executive-assistant-ceo-3b298abf7962941f,Executive Assistant to CEO,360 HR Partners FZ LLC,"Dubai, DU, AE",2026-03-13,fulltime,,,,,,True,,,,,"**Job Description**

**Location:** Dubai, UAE

**Position**: Executive Assistant

**Reports To:** Executive Director

**Role Overview**

We are seeking a high-calibre, sophisticated, and tech-savvy **Executive Assistant (EA)** to provide comprehensive strategic and administrative support to our **Executive Director**. This is not a traditional clerical role; we are looking for a true force multiplier for the Executive.

**Key Responsibilities**

**1. Strategic Calendar & Gatekeeping**

* **Precision Scheduling:** Manage an extremely complex, fluid calendar with an understanding of business priorities. Ensure the Executive’s time is aligned with their most critical objectives.
* **Gatekeeping:** Serve as the primary point of contact and ""filter"" for the Executive. Use high-level emotional intelligence to vet requests and protect the Executive's focus.
* **Meeting Lifecycle:** Coordinate high-stakes leadership meetings. Prepare agendas, briefing materials, and presentations; attend meetings to capture minutes and track actionable follow-ups.

**2. High-Level Communication & Liaison**

* **CXO Interaction:** Act as a polished representative of the Executive office. Communicate confidently and professionally with internal C-suite leaders, investors, and external partners.
* **Drafting & Editing:** Compose high-level correspondence, internal memos, and speeches. Ensure all communications reflect the Executive’s voice and the company’s brand standards.
* **Confidentiality:** Handle sensitive information regarding corporate strategy, personnel, and financial data with absolute discretion.

**3. Digital Optimization & Technical Support**

* **Tech-Forward Workflows:** Utilize and implement tools to streamline the Executive’s daily operations.
* **Virtual Presence:** Manage virtual meeting setups across multiple time zones and platforms (Zoom, Teams) in an effective way.
* **Data Presentation:** Create visually compelling reports and decks using PowerPoint, Keynote, or Google Slides, incorporating data visualization and clean design.

**4. Travel & Logistics**

* **End-to-End Travel:** Arrange complex international and domestic travel itineraries, including private aviation, visas, ground transport, and lodging.
* **Remote Support:** Provide ""on-call"" support during active travel periods to handle last-minute changes and logistical emergencies.

**Required Qualifications & Skills**

* **Experience:** Minimum of **5 years** of experience supporting C-level or Senior Executives in a fast-paced corporate environment.
* **Communication:** Exceptional verbal and written communication skills. Must be well-spoken with the confidence to challenge or advise the Executive when necessary.
* **Tech Savvy:** Expert proficiency in Microsoft 365/Google Workspace. Ability to quickly adopt and troubleshoot new productivity software.
* **Proactive Problem Solving:** A ""get-it-done"" attitude with the ability to navigate ambiguity and find solutions without constant supervision.
* **Education:** Bachelor’s degree preferred, or equivalent high-level professional certification.

**Behavioural Competencies**

* **Poise Under Pressure:** Remains calm and effective during crises or tight deadlines.
* **Anticipation:** The ability to predict what the business requirements.
* **Adaptability:** Comfortable with changing priorities and ""pivoting"" at a moment's notice.

Job Type: Full-time

Pay: AED13,000.00 - AED16,000.00 per month",,https://ae.indeed.com/cmp/360-HR-Partners-Fz-LLC,,,,,,,,,,,,,IT Director,united arab emirates,0
li-4375162904,linkedin,https://www.linkedin.com/jobs/view/4375162904,,"International Private Bank, United Arab Emirates, Private Banker, Executive Director",JPMorganChase,"Dubai, Dubai, United Arab Emirates",2026-03-13,,,,,,,False,,,,,,,https://www.linkedin.com/company/jpmorganchase,,,,,,,,,,,,,Program Director,united arab emirates,0
in-6db1dab6b77087b8,indeed,https://sa.indeed.com/viewjob?jk=6db1dab6b77087b8,https://jobs.parsons.com/jobs/director-of-fire-life-safety-riyadh-r-178301-jobs--project-program-management--,Director of Fire & Life Safety,Parsons,"الرياض, S01, SA",2026-03-15,,,,,,,False,,,,,"In a world of possibilities, pursue one with endless opportunities. Imagine Next!  
At Parsons, you can imagine a career where you thrive, work with exceptional people, and be yourself. Guided by our leadership vision of valuing people, embracing agility, and fostering growth, we cultivate an innovative culture that empowers you to achieve your full potential. Unleash your talent and redefine what’s possible.

**Job Description:**

Parsons is looking for a **Director of Fire & Life Safety** .The Director of Fire Engineering will be responsible for developing and implementing the comprehensive fire safety strategy.

This includes ensuring compliance with all relevant codes and regulations, as well as incorporating international best practices and innovative fire safety solutions. The ideal candidate will have a proven track record of leading fire engineering teams on large-scale, complex projects, preferably with experience in high-rise buildings and smart city developments.

**Responsibilities:**

* Develop and implement a comprehensive fire safety strategy, covering all aspects of fire prevention, detection, suppression, and evacuation.
* Lead and manage a team of fire engineers, providing technical guidance and mentorship.
* Collaborate with architects, engineers, and other stakeholders to integrate fire safety considerations into the design and construction.
* Conduct fire risk assessments and develop fire safety plans for different areas.
* Oversee the design and installation of fire protection systems, including fire alarm systems, sprinkler systems, and smoke control systems.
* Ensure compliance with all relevant fire codes and regulations, including international best practices.
* Liaise with local authorities and other regulatory bodies to obtain necessary approvals.
* Stay abreast of the latest advancements in fire engineering technology and incorporate them into fire safety strategy.
* Manage the fire engineering budget and resources effectively.
* Represent Client and Parsons at industry events and conferences.

**Qualifications:**

* Bachelor's degree in Fire Engineering or a related field.
* Minimum of 25 years of experience in fire engineering, with a significant portion in a leadership role.
* Extensive knowledge of fire codes and regulations, including international standards.
* Proven experience in performance-based design and fire & emergency response requirements.
* Strong leadership and management skills, with the ability to build and motivate a team.
* Excellent communication and interpersonal skills, with the ability to collaborate effectively with diverse stakeholders.
* Experience working on large-scale, complex projects, preferably in the Middle East.
* Chartered Engineer (CEng) or equivalent professional registration is preferred.

Parsons equally employs representation at all job levels no matter the race, color, religion, sex (including pregnancy), national origin, age, disability or genetic information.

We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!

Parsons is aware of fraudulent recruitment practices. To learn more about recruitment fraud and how to report it, please refer to https://www.parsons.com/fraudulent-recruitment/.

  

COMPETITIVE BENEFIT OFFERINGS

Financial Wellness

We care about your financial wellbeing. Parsons offers competitive pay and retirement plans to help you build wealth for the future while giving you the flexibility to diversify your investments.

Work Life Harmony

Balance in life is important and time away from the office is imperative to allow you to refresh and focus your attention on the things that matter to you. Parsons supports your time away by providing paid time off and paid flexible holidays.

Career Development

We are committed to fostering the personal and professional growth of our employees. Develop and advance yourself though our comprehensive training, educational and mentorship programs.

Veteran Support

We provide Industry leading benefits to support veterans and active-duty members to provide security for you and your family by offering robust leave and benefits; including paid active-duty military leave and paid time off when transitioning back to civilian life.

Mind & Body

At Parsons we inspire healthier habits, heathier minds, and a healthier you through our wellness program. Participate in our weekly Meditation Mondays and Wellness Wednesdays. Wellness, at Parsons, is more than just your annual checkup.

Health

Health is not a one size fits all. At Parsons, we offer a robust Employee Assistance Program as well as comprehensive medical, dental and vision plans through large, national carriers with the choice of regional PPO, HDHP, or HMO networks.",Construction,https://sa.indeed.com/cmp/Parsons,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/47c3cc6c78c3133dd4efdb20f44cec7f,https://www.parsons.com,"14291 Park Meadow Drive, Suite 100
Chantilly, VA 20151","10,000+",$1B to $5B (USD),"We welcome self starters who solve problems & believe in integrity, safety, quality, innovation, sustainability, & diversity as core values!",,,,,,,IT Director,saudi arabia,0
in-f196570556e58f2d,indeed,https://sa.indeed.com/viewjob?jk=f196570556e58f2d,https://wyndhamhotelcareers.com/company/ramada-by-wyndham-riyadh-king-fahd-rd/jobs/chief-accountant-2,Chief Accountant,Ramada by Wyndham Riyadh King Fahd Rd,"الرياض, S01, SA",2026-03-15,fulltime,,,,,,False,,,,,"**SUMMARY**
===========

The Chief Accountant is responsible for the financial accounting, reporting, and compliance within the hotel, ensuring accuracy, transparency, and adherence to accounting standards and regulations. Reporting to the Director of Finance, the Chief Accountant plays a critical role in managing the hotel’s financial operations, maintaining internal controls, and providing strategic financial insights to support business decisions.

**KEY RESPONSIBILITIES**

* In conjunction with the Director of Finance, prepare and analyze financial statements in accordance with company's requirements and deadlines, while ensuring accuracy and compliance with accounting principles and regulations.
* Effectively manage and communicate cash flow related issues, including preparation of cash flow statements, management of receivables, payables, cash balances, control mechanisms and deposits.
* Ensure accurate and timely recording of financial transactions, including revenue recognition, expense accruals, and depreciation/amortization schedules.
* Investigate and critique variances to budget or to prior year and offer practical improvement methodologies to management.
* Monitor the capital planning process by assisting management with the calculation of return on capital improvements, gathering support and monitoring the bid process, and ensuring proper upkeep of the property by evaluating scope of work and specifications.
* Provide timely and insightful financial reports to senior management, highlighting key financial metrics, trends, and areas of concern.
* Ensure hotels' compliance on all regulatory licenses and permits, leases, contracts, legal agreements, and the proper execution of all operational taxes.
* Help management in enforcing financial and regulatory compliance.
* Establish and enforce internal controls, policies, and procedures to safeguard hotel assets, ensure compliance with regulatory requirements, and prevent fraud or financial mismanagement.
* Analyze financial data and operations to assist and advise management in maintaining the hotels' financial objectives.
* Ensure that all balance sheet accounts, including bank reconciliations are reconciled on a timely basis.
* In conjunction with the Director of Finance, hire, train, supervise and develop the finance team.
* Ensure the proper utilization, maintenance, and periodic upgrades of all equipment.
* Conduct and/or attend and contribute to periodic meetings to maintain favorable working relationships among employees.
* Coordinate the annual budgeting process and support Director of Finance to collaborate with department heads to develop departmental budgets and financial forecasts.
* Monitor budget performance, analyze variances, and provide recommendations for cost control and operational efficiency improvements.
* Maintain the integrity of the general ledger, overseeing journal entries, account reconciliations, and month-end/year-end closing processes.
* Conduct regular audits and reviews of financial operations to assess compliance with accounting standards, internal policies, and legal regulations.
* Coordinate tax planning and compliance activities, ensuring timely and accurate filing of tax returns (e.g., VAT, corporate income tax).
* Establish and continually audit all internal financial controls including purchasing, cash handling, disbursements, inventories, hotel assets, master keys, payroll, and employee records.
* Facilitate external audits, providing audit schedules, supporting documentation, and responding to audit inquiries to facilitate audit completion within deadlines.
* Evaluate and enhance financial systems, accounting processes, and reporting tools to streamline operations, improve efficiency, and support business growth initiatives.
* Implement best practices in financial management and reporting, leveraging technology solutions to automate routine tasks and enhance data accuracy.

It is not the intent of this Job Description to cover all aspects of the position but to highlight the most important areas of responsibility.

**Experience Needed**
---------------------

**KEY COMPETENCIES**
====================

Alongside with the fundamentals of the brand service culture, the incumbent will be required to demonstrate the below competencies:

* Business Acumen
* Analysis
* Critical thinking
* Attention to detail
* Integratory
* Compliance
* Planning & Organisation
* Leadership
* Driving results
* Flexibility
* Accountability

**BACKGROUND**
==============

* Bachelor’s degree in accounting, Finance, or Business Administration.
* CPA, ACCA, or other professional accounting certification.
* Previous experience in hotel accounting.
* Language requirement: professional / native
* Eligibility to work in Saudi Arabia

**Required Skills**
-------------------

### **Tools**

Microsoft Office

### **Customer service**

Customer Orientation

### **Financial Skills**

Accounts Receivable, Accounts Payable, Cost Accounting

**Values**
----------

Integrity, Accountability, Diversity & Inclusion, Caring, Fun

**Benefits**
------------

Staff accommodation, Staff transportation, Incentive plans, Learning & development programmes, Career development, Hotel restaurant staff rate, Multisport Benefit program – Employee Friends & Family, Multisport Benefit program – Employee, Employee rate in all Wyndham hotels globally, Training program – All employee levels, Staff party",,https://sa.indeed.com/cmp/Ramada-By-Wyndham-Riyadh-King-Fahd-Rd,,,,,,,,,,,,,IT Director,saudi arabia,0
