company_name,website,country,city,category,size,pmo_score
National Wellness Partners,https://nationalwellnesspartners.com,UAE,Abu Dhabi,PharmaTech,Enterprise,80
National MedTech Solutions,https://nationalmedtechsolutions.com,Oman,Salalah,Digital Health,SME,80
Arabian Medical Group,https://arabianmedicalgroup.com,KSA,Riyadh,Healthcare,Enterprise,80
Advanced Health Solutions,https://advancedhealthsolutions.com,Kuwait,Kuwait City,Healthcare,Enterprise,80
Global Healthcare Systems,https://globalhealthcaresystems.com,Egypt,Cairo,MedTech,SME,80
Arabian Pharma Institute,https://arabianpharmainstitute.com,Kuwait,Kuwait City,Healthcare,Enterprise,80
Royal Wellness Holdings,https://royalwellnessholdings.com,Egypt,Cairo,HealthTech,Enterprise,80
Emirates MedTech Holdings,https://emiratesmedtechholdings.com,KSA,Jeddah,Wellness,Enterprise,80
Elite Health Center,https://elitehealthcenter.com,Egypt,Alexandria,Telemedicine,SME,80
Global Health Systems,https://globalhealthsystems.com,KSA,Jeddah,Digital Health,Enterprise,80
Premier Pharma Solutions,https://premierpharmasolutions.com,Qatar,Lusail,PharmaTech,Enterprise,80
Emirates Wellness Center,https://emirateswellnesscenter.com,Oman,Muscat,HealthTech,Enterprise,80
Arabian Digital Health Partners,https://arabiandigital healthpartners.com,Bahrain,Muharraq,Healthcare,Enterprise,80
Advanced Health Holdings,https://advancedhealthholdings.com,Oman,Salalah,MedTech,SME,80
Global MedTech Holdings,https://globalmedtechholdings.com,Kuwait,Kuwait City,Wellness,Enterprise,80
Elite Pharma Group,https://elitepharmagroup.com,Oman,Salalah,Telemedicine,Enterprise,80
Premier Health Systems,https://premierhealthsystems.com,Kuwait,Kuwait City,Healthcare,SME,80
Gulf Medical Group,https://gulfmedicalgroup.com,Kuwait,Kuwait City,Telemedicine,SME,80
Emirates Digital Health Institute,https://emiratesdigital healthinstitute.com,KSA,Khobar,PharmaTech,SME,80
Global Wellness Group,https://globalwellnessgroup.com,Oman,Muscat,Wellness,SME,80
Elite Healthcare Center,https://elitehealthcarecenter.com,UAE,Al Ain,Telemedicine,Enterprise,80
Elite MedTech Group,https://elitemedtechgroup.com,KSA,Khobar,Wellness,SME,80
Emirates Digital Health Systems,https://emiratesdigital healthsystems.com,Qatar,Doha,Healthcare,Enterprise,80
National MedTech Group,https://nationalmedtechgroup.com,UAE,Sharjah,Healthcare,Enterprise,80
Arabian Digital Health Holdings,https://arabiandigital healthholdings.com,KSA,Riyadh,Telemedicine,Enterprise,80
Royal Medical Systems,https://royalmedicalsystems.com,Kuwait,Kuwait City,Wellness,Enterprise,80
Arabian MedTech Center,https://arabianmedtechcenter.com,Qatar,Lusail,Wellness,Enterprise,80
Gulf Healthcare Institute,https://gulfhealthcareinstitute.com,Qatar,Doha,Wellness,Enterprise,80
Global Digital Health Partners,https://globaldigital healthpartners.com,Kuwait,Kuwait City,HealthTech,SME,80
Arabian MedTech Institute,https://arabianmedtechinstitute.com,Bahrain,Muharraq,PharmaTech,SME,80
Elite Pharma Center,https://elitepharmacenter.com,Kuwait,Kuwait City,MedTech,Enterprise,80
Middle East Digital Health Group,https://middle eastdigital healthgroup.com,KSA,Jeddah,Digital Health,Enterprise,80
Advanced Wellness Group,https://advancedwellnessgroup.com,KSA,Khobar,Healthcare,Enterprise,80
Middle East Healthcare Institute,https://middle easthealthcareinstitute.com,Bahrain,Manama,Healthcare,SME,80
Middle East Wellness Systems,https://middle eastwellnesssystems.com,Bahrain,Manama,Healthcare,SME,80
Gulf Wellness Center,https://gulfwellnesscenter.com,UAE,Abu Dhabi,HealthTech,SME,80
Gulf MedTech Solutions,https://gulfmedtechsolutions.com,Egypt,Sharm El Sheikh,PharmaTech,Enterprise,80
Gulf Wellness Partners,https://gulfwellnesspartners.com,Bahrain,Manama,PharmaTech,Enterprise,80
National Healthcare Center,https://nationalhealthcarecenter.com,UAE,Al Ain,Wellness,SME,80
Royal Health Systems,https://royalhealthsystems.com,KSA,Riyadh,PharmaTech,SME,80
Middle East MedTech Systems,https://middle eastmedtechsystems.com,Egypt,Sharm El Sheikh,Telemedicine,SME,80
National Wellness Group,https://nationalwellnessgroup.com,KSA,Khobar,Healthcare,Enterprise,80
Global Wellness Solutions,https://globalwellnesssolutions.com,Kuwait,Kuwait City,Telemedicine,Enterprise,80
Gulf MedTech Institute,https://gulfmedtechinstitute.com,Bahrain,Muharraq,MedTech,Enterprise,80
Gulf Health Institute,https://gulfhealthinstitute.com,Qatar,Lusail,PharmaTech,Enterprise,80
National Health Systems,https://nationalhealthsystems.com,UAE,Al Ain,HealthTech,SME,80
Advanced Health Institute,https://advancedhealthinstitute.com,Bahrain,Muharraq,Wellness,Enterprise,80
