priority,company_name,website,country,city,category,size,pmo_score,research_status,decision_maker,decision_maker_linkedin,outreach_sent,follow_up_date,notes
1,National Wellness Partners,https://nationalwellnesspartners.com,UAE,Abu Dhabi,PharmaTech,Enterprise,80,Pending,,,,,
2,National MedTech Solutions,https://nationalmedtechsolutions.com,Oman,Salalah,Digital Health,SME,80,Pending,,,,,
3,Arabian Medical Group,https://arabianmedicalgroup.com,KSA,Riyadh,Healthcare,Enterprise,80,Pending,,,,,
4,Advanced Health Solutions,https://advancedhealthsolutions.com,Kuwait,Kuwait City,Healthcare,Enterprise,80,Pending,,,,,
5,Global Healthcare Systems,https://globalhealthcaresystems.com,Egypt,Cairo,MedTech,SME,80,Pending,,,,,
6,Arabian Pharma Institute,https://arabianpharmainstitute.com,Kuwait,Kuwait City,Healthcare,Enterprise,80,Pending,,,,,
7,Royal Wellness Holdings,https://royalwellnessholdings.com,Egypt,Cairo,HealthTech,Enterprise,80,Pending,,,,,
8,Emirates MedTech Holdings,https://emiratesmedtechholdings.com,KSA,Jeddah,Wellness,Enterprise,80,Pending,,,,,
9,Elite Health Center,https://elitehealthcenter.com,Egypt,Alexandria,Telemedicine,SME,80,Pending,,,,,
10,Global Health Systems,https://globalhealthsystems.com,KSA,Jeddah,Digital Health,Enterprise,80,Pending,,,,,
11,Premier Pharma Solutions,https://premierpharmasolutions.com,Qatar,Lusail,PharmaTech,Enterprise,80,Pending,,,,,
12,Emirates Wellness Center,https://emirateswellnesscenter.com,Oman,Muscat,HealthTech,Enterprise,80,Pending,,,,,
13,Arabian Digital Health Partners,https://arabiandigital healthpartners.com,Bahrain,Muharraq,Healthcare,Enterprise,80,Pending,,,,,
14,Advanced Health Holdings,https://advancedhealthholdings.com,Oman,Salalah,MedTech,SME,80,Pending,,,,,
15,Global MedTech Holdings,https://globalmedtechholdings.com,Kuwait,Kuwait City,Wellness,Enterprise,80,Pending,,,,,
16,Elite Pharma Group,https://elitepharmagroup.com,Oman,Salalah,Telemedicine,Enterprise,80,Pending,,,,,
17,Premier Health Systems,https://premierhealthsystems.com,Kuwait,Kuwait City,Healthcare,SME,80,Pending,,,,,
18,Gulf Medical Group,https://gulfmedicalgroup.com,Kuwait,Kuwait City,Telemedicine,SME,80,Pending,,,,,
19,Emirates Digital Health Institute,https://emiratesdigital healthinstitute.com,KSA,Khobar,PharmaTech,SME,80,Pending,,,,,
20,Global Wellness Group,https://globalwellnessgroup.com,Oman,Muscat,Wellness,SME,80,Pending,,,,,
21,Elite Healthcare Center,https://elitehealthcarecenter.com,UAE,Al Ain,Telemedicine,Enterprise,80,Pending,,,,,
22,Elite MedTech Group,https://elitemedtechgroup.com,KSA,Khobar,Wellness,SME,80,Pending,,,,,
23,Emirates Digital Health Systems,https://emiratesdigital healthsystems.com,Qatar,Doha,Healthcare,Enterprise,80,Pending,,,,,
24,National MedTech Group,https://nationalmedtechgroup.com,UAE,Sharjah,Healthcare,Enterprise,80,Pending,,,,,
25,Arabian Digital Health Holdings,https://arabiandigital healthholdings.com,KSA,Riyadh,Telemedicine,Enterprise,80,Pending,,,,,
26,Royal Medical Systems,https://royalmedicalsystems.com,Kuwait,Kuwait City,Wellness,Enterprise,80,Pending,,,,,
27,Arabian MedTech Center,https://arabianmedtechcenter.com,Qatar,Lusail,Wellness,Enterprise,80,Pending,,,,,
28,Gulf Healthcare Institute,https://gulfhealthcareinstitute.com,Qatar,Doha,Wellness,Enterprise,80,Pending,,,,,
29,Global Digital Health Partners,https://globaldigital healthpartners.com,Kuwait,Kuwait City,HealthTech,SME,80,Pending,,,,,
30,Arabian MedTech Institute,https://arabianmedtechinstitute.com,Bahrain,Muharraq,PharmaTech,SME,80,Pending,,,,,
31,Elite Pharma Center,https://elitepharmacenter.com,Kuwait,Kuwait City,MedTech,Enterprise,80,Pending,,,,,
32,Middle East Digital Health Group,https://middle eastdigital healthgroup.com,KSA,Jeddah,Digital Health,Enterprise,80,Pending,,,,,
33,Advanced Wellness Group,https://advancedwellnessgroup.com,KSA,Khobar,Healthcare,Enterprise,80,Pending,,,,,
34,Middle East Healthcare Institute,https://middle easthealthcareinstitute.com,Bahrain,Manama,Healthcare,SME,80,Pending,,,,,
35,Middle East Wellness Systems,https://middle eastwellnesssystems.com,Bahrain,Manama,Healthcare,SME,80,Pending,,,,,
36,Gulf Wellness Center,https://gulfwellnesscenter.com,UAE,Abu Dhabi,HealthTech,SME,80,Pending,,,,,
37,Gulf MedTech Solutions,https://gulfmedtechsolutions.com,Egypt,Sharm El Sheikh,PharmaTech,Enterprise,80,Pending,,,,,
38,Gulf Wellness Partners,https://gulfwellnesspartners.com,Bahrain,Manama,PharmaTech,Enterprise,80,Pending,,,,,
39,National Healthcare Center,https://nationalhealthcarecenter.com,UAE,Al Ain,Wellness,SME,80,Pending,,,,,
40,Royal Health Systems,https://royalhealthsystems.com,KSA,Riyadh,PharmaTech,SME,80,Pending,,,,,
41,Middle East MedTech Systems,https://middle eastmedtechsystems.com,Egypt,Sharm El Sheikh,Telemedicine,SME,80,Pending,,,,,
42,National Wellness Group,https://nationalwellnessgroup.com,KSA,Khobar,Healthcare,Enterprise,80,Pending,,,,,
43,Global Wellness Solutions,https://globalwellnesssolutions.com,Kuwait,Kuwait City,Telemedicine,Enterprise,80,Pending,,,,,
44,Gulf MedTech Institute,https://gulfmedtechinstitute.com,Bahrain,Muharraq,MedTech,Enterprise,80,Pending,,,,,
45,Gulf Health Institute,https://gulfhealthinstitute.com,Qatar,Lusail,PharmaTech,Enterprise,80,Pending,,,,,
46,National Health Systems,https://nationalhealthsystems.com,UAE,Al Ain,HealthTech,SME,80,Pending,,,,,
47,Advanced Health Institute,https://advancedhealthinstitute.com,Bahrain,Muharraq,Wellness,Enterprise,80,Pending,,,,,
